image,detection_index,fruit_type,detection_confidence,bounding_box,agreement,class_disagreement,class_votes,model_c_ripeness,final_ripeness,ripeness_confidence,fruit_area_pixels,blemish_percentage,roi_error
01_fruit_bowl.jpg,1,Apple,0.8450893759727478,"(269, 131, 569, 425)",Model A + Model C + Model D,False,"{""Apple"": 2.2885281443595886}",Ripe,Ripe,0.9091981768752926,53010,36.304470854555746,
01_fruit_bowl.jpg,2,Mango,0.5722895860671997,"(289, 49, 511, 194)",Model D only,False,"{""Mango"": 0.5722895860671997}",,Ripe,0.6942408023864204,31702,53.04081761403066,
01_fruit_bowl.jpg,3,Apple,0.3942376375198364,"(156, 30, 321, 171)",Spatial match: Model A + Model C + Model D; class vote: Apple,True,"{""Mango"": 0.5605079531669617, ""Apple"": 0.7673156261444092}",Ripe,Ripe,0.8475937203911046,19690,35.4393092940579,
02_bowl_of_fruit.jpg,1,Orange,0.7712136507034302,"(83, 179, 233, 315)",Model A only,False,"{""Orange"": 0.7712136507034302}",,Ripe,0.745639666422192,15508,1.579829765282435,
02_bowl_of_fruit.jpg,2,Orange,0.7581431269645691,"(248, 229, 397, 369)",Model A only,False,"{""Orange"": 0.7581431269645691}",,Ripe,0.553494844048908,20726,3.715140403358101,
02_bowl_of_fruit.jpg,3,Orange,0.6941446661949158,"(286, 97, 416, 224)",Model A + Model C,False,"{""Orange"": 1.3072649240493774}",Ripe,Ripe,0.955489676353174,13051,9.171710980001532,
02_bowl_of_fruit.jpg,4,Orange,0.5910699367523193,"(420, 186, 563, 323)",Model A only,False,"{""Orange"": 0.5910699367523193}",,Ripe,0.9092959643060868,16692,2.803738317757009,
02_bowl_of_fruit.jpg,5,Mango,0.5501692891120911,"(90, 259, 299, 479)",Spatial match: Model C + Model D; class vote: Mango,True,"{""Mango"": 0.5501692891120911, ""Apple"": 0.5144214034080505}",Ripe,Ripe,0.5894391953993832,39619,18.455791413210836,
02_bowl_of_fruit.jpg,6,Orange,0.3032861649990082,"(380, 309, 511, 452)",Model A only,False,"{""Orange"": 0.3032861649990082}",,Ripe,0.6918985978978411,17830,4.273696017947279,
03_culinary_fruits.jpg,1,Watermelon,0.8120383620262146,"(121, 191, 291, 362)",Model A only,False,"{""Watermelon"": 0.8120383620262146}",,Ripe,0.9197774936565952,15109,34.171685750215104,
03_culinary_fruits.jpg,2,Apple,0.6895908713340759,"(100, 442, 180, 523)",Model A only,False,"{""Apple"": 0.6895908713340759}",,Ripe,0.5578608734396118,4693,22.77860643511613,
03_culinary_fruits.jpg,3,Banana,0.5914496779441833,"(494, 172, 613, 268)",Model A only,False,"{""Banana"": 0.5914496779441833}",,Ripe,0.5637704427864764,9076,19.105332745702952,
03_culinary_fruits.jpg,4,Pineapple,0.5763799548149109,"(346, 106, 462, 246)",Model A only,False,"{""Pineapple"": 0.5763799548149109}",,Ripe,0.8456739209956334,10844,27.600516414607156,
03_culinary_fruits.jpg,5,Apple,0.38346806168556213,"(34, 426, 111, 506)",Model A only,False,"{""Apple"": 0.38346806168556213}",,Unripe,0.8552741948107385,4667,50.93207628026569,
03_culinary_fruits.jpg,6,Banana,0.3175356686115265,"(540, 234, 640, 460)",Model A only,False,"{""Banana"": 0.3175356686115265}",,Ripe,0.761753415634661,13066,15.391091382213379,
04_fruits_in_basket.jpg,1,Apple,0.8333866000175476,"(31, 340, 189, 502)",Model A + Model C + Model D,False,"{""Apple"": 2.304360032081604}",Ripe,Ripe,0.7997533950419355,15952,2.244232698094283,
04_fruits_in_basket.jpg,2,Apple,0.805503249168396,"(100, 141, 220, 268)",Model C + Model D,False,"{""Apple"": 1.4805355072021484}",Ripe,Ripe,0.8865746703668427,7430,14.253028263795425,
04_fruits_in_basket.jpg,3,Banana,0.8048253655433655,"(354, 299, 574, 500)",Model A only,False,"{""Banana"": 0.8048253655433655}",,Unripe,0.4338537866341979,27429,50.012760217288275,
04_fruits_in_basket.jpg,4,Apple,0.6612926125526428,"(179, 329, 342, 499)",Model A + Model C,False,"{""Apple"": 1.1094559133052826}",Ripe,Ripe,0.6269091402392747,13261,16.627705301259333,
04_fruits_in_basket.jpg,5,Apple,0.5883431434631348,"(74, 252, 223, 388)",Model A + Model C + Model D,False,"{""Apple"": 1.3567939400672913}",Ripe,Ripe,0.768180792508247,9770,13.520982599795293,
