evaluation,image,expected,baseline_prediction,baseline_confidence,baseline_correct,baseline_reliability,baseline_box_status,candidate_prediction,candidate_confidence,candidate_correct,candidate_reliability,candidate_box_status,tile_count
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\Screen Shot 2018-06-08 at 5.34.07 PM.png,Apple,Apple,0.9415807723999023,True,,,Apple,0.9415807723999023,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\a_f223.png,Apple,Apple,0.9392246603965759,True,,,Apple,0.9392246603965759,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.49 PM.png,Apple,Apple,0.9482187628746033,True,,,Apple,0.9482187628746033,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.05 PM.png,Apple,Apple,0.8913999199867249,True,,,Apple,0.8913999199867249,True,Review required,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.00.12 PM.png,Apple,Apple,0.9373868107795715,True,,,Apple,0.9373868107795715,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.34.14 PM.png,Apple,Watermelon,0.6446337103843689,False,,,Watermelon,0.6446337103843689,False,Review required,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\translation_Screen Shot 2018-06-08 at 4.59.36 PM.png,Apple,Apple,0.9248734712600708,True,,,Apple,0.9248734712600708,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\translation_Screen Shot 2018-06-08 at 5.33.05 PM.png,Apple,Apple,0.9322026371955872,True,,,Apple,0.9322026371955872,True,Review required,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 4.59.49 PM.png,Apple,Apple,0.9363768696784973,True,,,Apple,0.9363768696784973,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.33.27 PM.png,Apple,Apple,0.9162537455558777,True,,,Apple,0.9162537455558777,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\Screen Shot 2018-06-12 at 9.59.48 PM.png,Banana,Banana,0.846937894821167,True,,,Banana,0.846937894821167,True,Review required,Review required,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f281.png,Banana,Banana,0.768839418888092,True,,,Banana,0.768839418888092,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 10.00.07 PM.png,Banana,Banana,0.9691229462623596,True,,,Banana,0.9691229462623596,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.59.02 PM.png,Banana,Banana,0.8692580461502075,True,,,Banana,0.8692580461502075,True,Review required,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 10.00.00 PM.png,Banana,Banana,0.8113981485366821,True,,,Banana,0.8113981485366821,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 9.56.33 PM.png,Banana,Banana,0.7554073333740234,True,,,Banana,0.7554073333740234,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\translation_Screen Shot 2018-06-12 at 10.00.12 PM.png,Banana,Banana,0.9571024775505066,True,,,Banana,0.9571024775505066,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\translation_Screen Shot 2018-06-12 at 9.59.07 PM.png,Banana,Banana,0.8135280013084412,True,,,Banana,0.8135280013084412,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 10.00.21 PM.png,Banana,Banana,0.9417879581451416,True,,,Banana,0.9417879581451416,True,Accepted,Accepted,0
single_fruit,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 9.59.48 PM.png,Banana,Banana,0.794040322303772,True,,,Banana,0.794040322303772,True,Review required,Review required,0
